pais;pais_iso3;casos;total_deaths;popData2019;casos1000;deaths_100k;prev04_pob100K;prevtx_pob100K
Suriname;SUR;5353;117;156968010;3,410249006;0,074537481;0;0,198766615
Sweden;SWE;320098;7514;3580564750;8,939874638;0,209855163;0;0
Switzerland;CHE;372329;5378;2990584450;12,45004133;0,179831069;0;0
Syria;SYR;9166;518;4557725244;0,201109095;0,011365319;0,005397429;0,048335516
Taiwan;CNG1925;740;7;8320858350;0,008893313;8,41259E-05;0;0
Tajikistan;TJK;12704;88;2125193244;0,597780933;0,0041408;0,133964288;0,704641803
Thailand;THA;4237;60;23881574283;0,017741711;0,00025124;0,018893227;0,45921177
Timor_Leste;TLS;31;0;346556160;0,008945159;0;0,340493154;0
Togo;TGO;3251;66;2230731084;0,145736975;0,002958671;0,000179313;0,00461732
Trinidad_and_Tobago;TTO;6879;122;386406413;1,780249957;0,031572975;0,002846744;0,194096158
Tunisia;TUN;111361;3894;3286216601;3,388729762;0,118494928;0;0
Turkey;TUR;995471;16199;22633071432;4,398302736;0,071572257;0,00476736;0,094587251
Turks_and_Caicos_islands;TCA;769;6;10121410;7,597755649;0,059280278;0;0,098800464
Uganda;UGA;27532;221;11864249316;0,232058508;0,001862739;0,054786441;0
Ukraine;UKR;900666;15247;12142245468;7,417623061;0,125569855;0,022870564;0,307084881
United_Arab_Emirates;ARE;184949;617;3361060944;5,502697008;0,018357299;0,000386783;0,016661406
United_Kingdom;GBR;1849403;64170;23326489200;7,928338397;0,275094977;0;0
United_Republic_of_Tanzania;TZA;509;21;15835490853;0,003214299;0,000132614;0,049995293;0
United_States_of_America;USA;16256754;299177;1,15173E+11;14,11510804;0,259763768;0;0
United_States_Virgin_Islands;VIR;1807;23;27713435;6,520303239;0,082992238;0;0
Uruguay;URY;9708;92;951976025;1,019773581;0,009664109;0,015966789;0,141074981
Uzbekistan;UZB;75094;612;9036989910;0,83096253;0,006772166;0,02181036;0,108078023
Vanuatu;VUT;1;0;10195988;0,009807779;0;0;1,490782453
Venezuela;VEN;107177;949;7813337146;1,371718614;0,012145899;0,007832761;0,200861677
Vietnam;VNM;1397;35;33375889368;0,004185656;0,000104866;0,00970461;0,055764806
Western_Sahara;ESH;766;1;135712714;0,564427589;0,000736851;0;0
Yemen;YEM;2083;606;7261318578;0,02868625;0,008345592;0;0
Zambia;ZMB;18274;367;4840340214;0,377535446;0,007582112;0,03636108;0,218166483
Zimbabwe;ZWE;11246;307;3939632237;0,285458117;0,007792606;0,066300605;0,593583324
